Tipologia_API;Zona;Data;Valore
uniqueUserZone;OWM Zona7;2020-03-19 00:00:00+01:00;246
uniqueUserZone;OWM Zona6;2020-03-19 00:00:00+01:00;306
uniqueUserZone;OWM Zona5;2020-03-19 00:00:00+01:00;156
uniqueUserZone;OWM Zona4;2020-03-19 00:00:00+01:00;232
uniqueUserZone;OWM Zona3;2020-03-19 00:00:00+01:00;289
uniqueUserZone;OWM Zona2;2020-03-19 00:00:00+01:00;176
uniqueUserZone;OWM Zona1;2020-03-19 00:00:00+01:00;202
uniqueUserZone;OWM Zona9;2020-03-18 00:00:00+01:00;228
uniqueUserZone;OWM Zona8;2020-03-18 00:00:00+01:00;228
uniqueUserZone;OWM Zona7;2020-03-18 00:00:00+01:00;263
uniqueUserZone;OWM Zona6;2020-03-18 00:00:00+01:00;329
uniqueUserZone;OWM Zona5;2020-03-18 00:00:00+01:00;151
uniqueUserZone;OWM Zona4;2020-03-18 00:00:00+01:00;224
uniqueUserZone;OWM Zona3;2020-03-18 00:00:00+01:00;291
uniqueUserZone;OWM Zona2;2020-03-18 00:00:00+01:00;162
uniqueUserZone;OWM Zona1;2020-03-18 00:00:00+01:00;210
uniqueUserZone;OWM Zona9;2020-03-17 00:00:00+01:00;231
uniqueUserZone;OWM Zona8;2020-03-17 00:00:00+01:00;213
uniqueUserZone;OWM Zona7;2020-03-17 00:00:00+01:00;270
uniqueUserZone;OWM Zona6;2020-03-17 00:00:00+01:00;320
uniqueUserZone;OWM Zona5;2020-03-17 00:00:00+01:00;205
uniqueUserZone;OWM Zona4;2020-03-17 00:00:00+01:00;243
uniqueUserZone;OWM Zona3;2020-03-17 00:00:00+01:00;307
uniqueUserZone;OWM Zona2;2020-03-17 00:00:00+01:00;190
uniqueUserZone;OWM Zona1;2020-03-17 00:00:00+01:00;254
uniqueUserZone;OWM Zona9;2020-03-16 00:00:00+01:00;231
uniqueUserZone;OWM Zona8;2020-03-16 00:00:00+01:00;240
uniqueUserZone;OWM Zona7;2020-03-16 00:00:00+01:00;265
uniqueUserZone;OWM Zona6;2020-03-16 00:00:00+01:00;321
uniqueUserZone;OWM Zona5;2020-03-16 00:00:00+01:00;172
uniqueUserZone;OWM Zona4;2020-03-16 00:00:00+01:00;247
uniqueUserZone;OWM Zona3;2020-03-16 00:00:00+01:00;321
uniqueUserZone;OWM Zona2;2020-03-16 00:00:00+01:00;205
uniqueUserZone;OWM Zona1;2020-03-16 00:00:00+01:00;259
uniqueUserZone;OWM Zona9;2020-03-15 00:00:00+01:00;110
uniqueUserZone;OWM Zona8;2020-03-15 00:00:00+01:00;167
uniqueUserZone;OWM Zona7;2020-03-15 00:00:00+01:00;230
uniqueUserZone;OWM Zona6;2020-03-15 00:00:00+01:00;279
uniqueUserZone;OWM Zona5;2020-03-15 00:00:00+01:00;144
uniqueUserZone;OWM Zona4;2020-03-15 00:00:00+01:00;192
uniqueUserZone;OWM Zona3;2020-03-15 00:00:00+01:00;236
uniqueUserZone;OWM Zona2;2020-03-15 00:00:00+01:00;159
uniqueUserZone;OWM Zona1;2020-03-15 00:00:00+01:00;148
uniqueUserZone;OWM Zona9;2020-03-14 00:00:00+01:00;131
uniqueUserZone;OWM Zona8;2020-03-14 00:00:00+01:00;196
uniqueUserZone;OWM Zona7;2020-03-14 00:00:00+01:00;251
uniqueUserZone;OWM Zona6;2020-03-14 00:00:00+01:00;284
uniqueUserZone;OWM Zona5;2020-03-14 00:00:00+01:00;148
uniqueUserZone;OWM Zona4;2020-03-14 00:00:00+01:00;201
uniqueUserZone;OWM Zona3;2020-03-14 00:00:00+01:00;270
uniqueUserZone;OWM Zona2;2020-03-14 00:00:00+01:00;175
uniqueUserZone;OWM Zona1;2020-03-14 00:00:00+01:00;184
uniqueUserZone;OWM Zona9;2020-03-13 00:00:00+01:00;196
uniqueUserZone;OWM Zona8;2020-03-13 00:00:00+01:00;255
uniqueUserZone;OWM Zona7;2020-03-13 00:00:00+01:00;307
uniqueUserZone;OWM Zona6;2020-03-13 00:00:00+01:00;349
uniqueUserZone;OWM Zona5;2020-03-13 00:00:00+01:00;177
uniqueUserZone;OWM Zona4;2020-03-13 00:00:00+01:00;271
uniqueUserZone;OWM Zona3;2020-03-13 00:00:00+01:00;361
uniqueUserZone;OWM Zona2;2020-03-13 00:00:00+01:00;216
uniqueUserZone;OWM Zona1;2020-03-13 00:00:00+01:00;307
uniqueUserZone;OWM Zona9;2020-03-12 00:00:00+01:00;216
uniqueUserZone;OWM Zona8;2020-03-12 00:00:00+01:00;265
uniqueUserZone;OWM Zona7;2020-03-12 00:00:00+01:00;302
uniqueUserZone;OWM Zona6;2020-03-12 00:00:00+01:00;388
